Reduzido,Clustering,Regressão Linear,Árvore de Decisão,Random Forest,XGBoost,K-NN,Regressão Linear Bayesiana,Redes Neurais,3-Fold,R²,MSE,max_depth,min_samples_split,n_estimators,learning_rate,n_neighbors,weights,alpha_1,alpha_2,activation,alpha,hidden_layer_sizes
X,X,X,,,,,,,X,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,X,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,X,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,X,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,,X,,,X,0.04483377715478909,1.1490025140353475e-06,N/A,N/A,N/A,N/A,8.0,distance,N/A,N/A,N/A,N/A,N/A
X,X,,,,,,X,,X,0.14289423979516502,1.0310421890087367e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,X,,,,,,,X,X,-1.584455489962302,3.10893097385037e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.001,"(50, 30)"
X,X,X,,,,,,,,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,,X,,,,0.04483377715478909,1.1490025140353475e-06,N/A,N/A,N/A,N/A,8.0,distance,N/A,N/A,N/A,N/A,N/A
X,X,,,,,,X,,,0.14289423979516502,1.0310421890087367e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,X,,,,,,,X,,-1.584455489962302,3.10893097385037e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.001,"(50, 30)"
X,X,X,,,,,,,,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,,X,,,,0.04483377715478909,1.1490025140353475e-06,N/A,N/A,N/A,N/A,8.0,distance,N/A,N/A,N/A,N/A,N/A
X,X,,,,,,X,,,0.14289423979516502,1.0310421890087367e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,X,,,,,,,X,,-1.584455489962302,3.10893097385037e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.001,"(50, 30)"
X,X,X,,,,,,,,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,,X,,,,0.04483377715478909,1.1490025140353475e-06,N/A,N/A,N/A,N/A,8.0,distance,N/A,N/A,N/A,N/A,N/A
X,X,,,,,,X,,,0.14289423979516502,1.0310421890087367e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,X,,,,,,,X,,-1.584455489962302,3.10893097385037e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.001,"(50, 30)"
X,X,X,,,,,,,,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,,X,,,,0.04483377715478909,1.1490025140353475e-06,N/A,N/A,N/A,N/A,8.0,distance,N/A,N/A,N/A,N/A,N/A
X,X,,,,,,X,,,0.14289423979516502,1.0310421890087367e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,X,,,,,,,X,,-1.584455489962302,3.10893097385037e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.001,"(50, 30)"
X,,X,,,,,,,X,0.1457097566004234,1.0276553063801674e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,X,,,,,,X,0.11218932063134213,1.067978199169768e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,X,,,,,X,0.14498534870910995,1.0285267217091422e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,X,,,,X,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,,X,,,X,0.05865965060646949,1.1323708922560568e-06,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
X,,,,,,,X,,X,0.14268497757107612,1.031293917782033e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,,,,,,,,X,X,-2.8137311773101437,4.587669251464373e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
X,,X,,,,,,,,0.1457097566004234,1.0276553063801674e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,X,,,,,,,0.11218932063134213,1.067978199169768e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,X,,,,,,0.14498534870910995,1.0285267217091422e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,,X,,,,0.05865965060646949,1.1323708922560568e-06,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
X,,,,,,,X,,,0.14268497757107612,1.031293917782033e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,,,,,,,,X,,-2.8137311773101437,4.587669251464373e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
X,,X,,,,,,,,0.1457097566004234,1.0276553063801674e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,X,,,,,,,0.11218932063134213,1.067978199169768e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,X,,,,,,0.14498534870910995,1.0285267217091422e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,,X,,,,0.05865965060646949,1.1323708922560568e-06,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
X,,,,,,,X,,,0.14268497757107612,1.031293917782033e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,,,,,,,,X,,-2.8137311773101437,4.587669251464373e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
X,,X,,,,,,,,0.1457097566004234,1.0276553063801674e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,X,,,,,,,0.11218932063134213,1.067978199169768e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,X,,,,,,0.14498534870910995,1.0285267217091422e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,,X,,,,0.05865965060646949,1.1323708922560568e-06,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
X,,,,,,,X,,,0.14268497757107612,1.031293917782033e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,,,,,,,,X,,-2.8137311773101437,4.587669251464373e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
X,,X,,,,,,,,0.1457097566004234,1.0276553063801674e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,X,,,,,,,0.11218932063134213,1.067978199169768e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,X,,,,,,0.14498534870910995,1.0285267217091422e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,,,,,,X,,,,0.05865965060646949,1.1323708922560568e-06,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
X,,,,,,,X,,,0.14268497757107612,1.031293917782033e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,,,,,,,,X,,-2.8137311773101437,4.587669251464373e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
,X,X,,,,,,,X,0.1452825739962328,8.580177073771385e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,X,,,,,,X,-0.191384668918269,1.1959849081455594e-06,5.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,X,,,,,X,0.1798097696051767,8.233571934841909e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,X,,,,X,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,,X,,,X,0.046123465305740075,9.575596946067308e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,X,,,,,,X,,X,0.11275347581583217,8.906724086791688e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,X,,,,,,,X,X,-0.15593788835136868,1.1604012585432423e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
,X,X,,,,,,,,0.1452825739962328,8.580177073771385e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,X,,,,,,,-0.191384668918269,1.1959849081455594e-06,5.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,X,,,,,,0.1798097696051767,8.233571934841909e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,,X,,,,0.046123465305740075,9.575596946067308e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,X,,,,,,X,,,0.11275347581583217,8.906724086791688e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,X,,,,,,,X,,-0.15593788835136868,1.1604012585432423e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
,X,X,,,,,,,,0.1452825739962328,8.580177073771385e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,X,,,,,,,-0.191384668918269,1.1959849081455594e-06,5.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,X,,,,,,0.1798097696051767,8.233571934841909e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,,X,,,,0.046123465305740075,9.575596946067308e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,X,,,,,,X,,,0.11275347581583217,8.906724086791688e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,X,,,,,,,X,,-0.15593788835136868,1.1604012585432423e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
,X,X,,,,,,,,0.1452825739962328,8.580177073771385e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,X,,,,,,,-0.191384668918269,1.1959849081455594e-06,5.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,X,,,,,,0.1798097696051767,8.233571934841909e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,,X,,,,0.046123465305740075,9.575596946067308e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,X,,,,,,X,,,0.11275347581583217,8.906724086791688e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,X,,,,,,,X,,-0.15593788835136868,1.1604012585432423e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
,X,X,,,,,,,,0.1452825739962328,8.580177073771385e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,X,,,,,,,-0.191384668918269,1.1959849081455594e-06,5.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,X,,,,,,0.1798097696051767,8.233571934841909e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,X,,,,,X,,,,0.046123465305740075,9.575596946067308e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,X,,,,,,X,,,0.11275347581583217,8.906724086791688e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,X,,,,,,,X,,-0.15593788835136868,1.1604012585432423e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.01,"(50, 30)"
,,X,,,,,,,X,0.14496244632230704,8.583390711454355e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,X,,,,,,X,-0.05370717949745751,1.05777581092076e-06,6.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,X,,,,,X,0.1799257389347818,8.232407763675081e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,X,,,,X,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,X,,,X,0.04304897817565878,9.606460531135963e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,,,,,,,X,,X,0.11249042987820357,8.909364703040666e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,,,,,,,,X,X,-2.7869604514062076,3.801582868896751e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tanh,0.01,"(50, 30)"
,,X,,,,,,,,0.14496244632230704,8.583390711454355e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,X,,,,,,,-0.05370717949745751,1.05777581092076e-06,6.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,X,,,,,,0.1799257389347818,8.232407763675081e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,X,,,,0.04304897817565878,9.606460531135963e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,,,,,,,X,,,0.11249042987820357,8.909364703040666e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,,,,,,,,X,,-2.7869604514062076,3.801582868896751e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tanh,0.01,"(50, 30)"
,,X,,,,,,,,0.14496244632230704,8.583390711454355e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,X,,,,,,,-0.05370717949745751,1.05777581092076e-06,6.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,X,,,,,,0.1799257389347818,8.232407763675081e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,X,,,,0.04304897817565878,9.606460531135963e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,,,,,,,X,,,0.11249042987820357,8.909364703040666e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,,,,,,,,X,,-2.7869604514062076,3.801582868896751e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tanh,0.01,"(50, 30)"
,,X,,,,,,,,0.14496244632230704,8.583390711454355e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,X,,,,,,,-0.05370717949745751,1.05777581092076e-06,6.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,X,,,,,,0.1799257389347818,8.232407763675081e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,X,,,,0.04304897817565878,9.606460531135963e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,,,,,,,X,,,0.11249042987820357,8.909364703040666e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,,,,,,,,X,,-2.7869604514062076,3.801582868896751e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tanh,0.01,"(50, 30)"
,,X,,,,,,,,0.14496244632230704,8.583390711454355e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,X,,,,,,,-0.05370717949745751,1.05777581092076e-06,6.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,X,,,,,,0.1799257389347818,8.232407763675081e-07,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,X,,,,,0.18106127034324349,8.221008603834635e-07,4.0,N/A,39.0,0.11151559382799708,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,X,,,,0.04304897817565878,9.606460531135963e-07,N/A,N/A,N/A,N/A,9.0,distance,N/A,N/A,N/A,N/A,N/A
,,,,,,,X,,,0.11249042987820357,8.909364703040666e-07,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
,,,,,,,,X,,-2.7869604514062076,3.801582868896751e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tanh,0.01,"(50, 30)"
